Date,Income
2009-01-01,60090.0
2010-01-01,60240.0
2011-01-01,60970.0
2012-01-01,62240.0
2013-01-01,65470.0
2014-01-01,66630.0
2015-01-01,70700.0
2016-01-01,72710.0
2017-01-01,76140.0
2018-01-01,78650.0
2019-01-01,86010.0
2020-01-01,84350.0
2021-01-01,88590.0
2022-01-01,92750.0
2023-01-01,100800.0
